"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Acin1",-0.3954073888868,6.8961335873607,-4.74398069180165,1.3660818703864e-05,0.000131675247563153,2.25052724929451,"Acin1","NOT",4.86452327225655,"NOT"
"Alyref",-0.520445382578932,7.12089764294634,-6.38892701099409,2.87281900502241e-08,5.35116429537156e-07,8.26797431700159,"Alyref","NOT",7.54169173481422,"NOT"
"Alyref2",-0.626548407133937,-0.682879170537239,-1.10665116360341,0.2729246855269,0.497659349434939,-5.05779051021792,"Alyref2","NOT",0.563957181430641,"NOT"
"Aqr",-0.436569195330064,6.63494695833059,-5.09531336629753,3.82802531259733e-06,4.30609314267771e-05,3.5351488479204,"Aqr","NOT",5.4170251991384,"NOT"
"Bcas2",0.00444426823070546,7.03378432840131,0.0539152253821765,0.957184373132844,0.973693699789099,-7.43150243905002,"Bcas2","NOT",0.0190044002357566,"NOT"
"Bud31",-0.366244466767112,5.41535287658438,-3.87994054998424,0.000265245120097082,0.00181530037455915,-0.357170898191503,"Bud31","NOT",3.57635259737725,"NOT"
"Ccdc12",-0.298085984082168,4.54567828814811,-2.68059884201274,0.00950664791860013,0.0394535370392205,-3.53647386756883,"Ccdc12","NOT",2.02197259001142,"NOT"
"Cdc40",-0.186771388446774,5.51253482023742,-1.95988237835072,0.0547256482903527,0.162912163726661,-5.26820846858863,"Cdc40","NOT",1.2618090849952,"NOT"
"Cdc5l",-0.160184648611254,5.97506053867745,-1.76650546288218,0.0824700876059327,0.221868545556419,-5.69806980254074,"Cdc5l","NOT",1.08370354409635,"NOT"
"Cherp",-0.315381248329111,7.41851459155121,-4.01243188123526,0.000171312006971953,0.00123986667754655,-0.287431389534357,"Cherp","NOT",3.7662121969941,"NOT"
"Crnkl1",-0.477758984414678,5.51746897228135,-4.85828874136801,9.06269035724334e-06,9.16913247814909e-05,2.87936891298666,"Crnkl1","NOT",5.04274285818844,"NOT"
"Ctnnbl1",-0.124673069043383,5.62544189550067,-1.33108405167687,0.188268738678165,0.398778657080721,-6.28826964260811,"Ctnnbl1","NOT",0.725221786975799,"NOT"
"Cwc15",-0.111020502942856,6.08648574211584,-1.27900515610326,0.20588972872395,0.423169982897793,-6.44088192749439,"Cwc15","NOT",0.686365318606721,"NOT"
"Ddx23",-0.131758289692893,7.56843945759575,-1.65754240700503,0.102704305798403,0.260210287477916,-6.17091144839711,"Ddx23","NOT",0.988411348561562,"NOT"
"Ddx39b",-0.543552539335565,7.57955925095409,-7.00470756433116,2.62335850844944e-09,6.21301394537979e-08,10.5658160536324,"Ddx39b","NOT",8.5811423546243,"NOT"
"Ddx42",-0.427628446937389,6.64809255191462,-5.18069794697547,2.79705586606144e-06,3.25017891636339e-05,3.83953256267607,"Ddx42","NOT",5.55329885930602,"NOT"
"Ddx46",-0.264039303197016,6.74414056537444,-3.13071078431339,0.0027088552858648,0.0135659481383185,-2.78588282335192,"Ddx46","NOT",2.56721419549437,"NOT"
"Ddx5",-0.299054720422312,9.4466257251633,-4.06290684089131,0.000144762336318418,0.00106896298481532,-0.506894158389305,"Ddx5","NOT",3.83934441643142,"NOT"
"Dhx15",-0.456015688076533,7.53153991856416,-5.81140396792019,2.63321193325101e-07,3.84519348990831e-06,6.01249724311434,"Dhx15","NOT",6.57951418542968,"NOT"
"Dhx16",-0.183344060320923,6.90574974013133,-2.24213196312463,0.0287153014074066,0.0983110250165561,-4.96450908225082,"Dhx16","NOT",1.54188662082852,"NOT"
"Dhx38",-0.681664328430937,7.50936437446302,-8.5880818669311,5.46882682384404e-12,2.44815170620835e-10,16.7232234740966,"Dhx38","DOWN",11.2621058287994,"DOWN"
"Dhx8",-0.537148299186132,6.14474509475478,-6.24513838348184,5.0043281073661e-08,8.78798634262676e-07,7.87195123554169,"Dhx8","NOT",7.30065422364945,"NOT"
"Eftud2",-0.81503236907079,7.84725259896297,-10.2662479982186,9.23093342869974e-15,7.97687022587037e-13,23.0559569114056,"Eftud2","DOWN",14.0347543810503,"DOWN"
"Eif4a3",-0.444052647027361,7.20166872437991,-5.30125295394419,1.79102024792765e-06,2.1707674172286e-05,4.18364618459009,"Eif4a3","NOT",5.74689950431649,"NOT"
"Fus",-1.25617197158708,7.75888053037284,-15.4566471293001,1.93776128043892e-22,1.23056854151036e-19,40.7615549702674,"Fus","DOWN",21.7126997262398,"DOWN"
"Gm22068",-1.39432260559351,-3.28813358424428,-1.55398281502012,0.125522588088389,0.30255497510192,-4.3693430750796,"Gm22068","NOT",0.901278114824892,"NOT"
"Gm22474",-0.662655026915686,-4.73176326720628,-0.834802814364309,0.407187463859964,0.609731743563503,-5.00101890755418,"Gm22474","NOT",0.390205601153246,"NOT"
"Gm22973",-1.94112917294214,-4.08061483460486,-2.32270709517729,0.0236539008864808,0.0838937213302835,-3.3625350241267,"Gm22973","DOWN",1.62609722728256,"DOWN"
"Gm23143",-1.73290829750091,-4.18296630900164,-2.03298350883528,0.0465493665862815,0.14385735099271,-3.78230677534825,"Gm23143","DOWN",1.33208622424127,"DOWN"
"Gm23248",-0.0360698766584433,-4.12253796243752,-0.0394506922616905,0.968663904474154,0.980953430938097,-5.22854386419606,"Gm23248","NOT",0.0138268831678557,"NOT"
"Gm23287",-1.56766874230094,-4.26387078019668,-1.86271909077424,0.0674694087748427,0.190887382422331,-4.00738759401036,"Gm23287","NOT",1.17089309549089,"NOT"
"Gm23472",-0.788507516016821,-4.65085879601124,-0.978785946178575,0.331671690524932,0.563945134070007,-4.90132589088939,"Gm23472","NOT",0.479291595630023,"NOT"
"Gm24407",-0.282434766926216,-4.38669837922438,-0.335275127255525,0.738603623479257,0.838908957089597,-5.20353693432522,"Gm24407","NOT",0.131588566095835,"NOT"
"Gm25099",-1.3151591812634,-3.85837754565066,-1.494751161237,0.140294959011842,0.326434427891648,-4.43135541659959,"Gm25099","NOT",0.85295793348106,"NOT"
