MyList,Gene ID,Type,Tax ID,Homologene Gene ID,Homologene Gene Tax ID,Gene Symbol,Synonyms,Description,Biological Process (GO)
Cxcl1,14825,symbol,M. musculus,14825,M. musculus,Cxcl1,Fsp|Gro1|KC|Mgsa|N51|Scyb1|gro,chemokine (C-X-C motif) ligand 1,GO:0070953 regulation of neutrophil mediated killing of fungus;GO:0070965 positive regulation of neutrophil mediated killing of fungus;GO:0070960 positive regulation of neutrophil mediated cytotoxicity
Cxcl2,20310,symbol,M. musculus,20310,M. musculus,Cxcl2,CINC-2a|GROb|Gro2|MIP-2|MIP-2a|Mgsa-b|Mip2|Scyb|Scyb2,chemokine (C-X-C motif) ligand 2,GO:0070098 chemokine-mediated signaling pathway;GO:1990868 response to chemokine;GO:1990869 cellular response to chemokine
Cxcl3,330122,symbol,M. musculus,330122,M. musculus,Cxcl3,Dcip1|Gm1960,chemokine (C-X-C motif) ligand 3,GO:0070098 chemokine-mediated signaling pathway;GO:1990868 response to chemokine;GO:1990869 cellular response to chemokine
Cxcl4,56744,gene_synonym,M. musculus,56744,M. musculus,Pf4,Cxcl4|Scyb4,platelet factor 4,GO:0042832 defense response to protozoan;GO:0001562 response to protozoan;GO:0070098 chemokine-mediated signaling pathway
Cxcl5,20311,symbol,M. musculus,20311,M. musculus,Cxcl5,AMCF-II|Cxcl6|ENA-78|GCP-2|LIX|Scyb5|Scyb6,chemokine (C-X-C motif) ligand 5,GO:0070950 regulation of neutrophil mediated killing of bacterium;GO:0070951 regulation of neutrophil mediated killing of gram-negative bacterium;GO:0070949 regulation of neutrophil mediated killing of symbiont cell
Cxcl6,20311,gene_synonym,M. musculus,20311,M. musculus,Cxcl5,AMCF-II|Cxcl6|ENA-78|GCP-2|LIX|Scyb5|Scyb6,chemokine (C-X-C motif) ligand 5,GO:0070950 regulation of neutrophil mediated killing of bacterium;GO:0070951 regulation of neutrophil mediated killing of gram-negative bacterium;GO:0070949 regulation of neutrophil mediated killing of symbiont cell
Cxcl7,57349,gene_synonym,M. musculus,57349,M. musculus,Ppbp,2400003M24Rik|CTAP3|CTAPIII|Cxcl7|LA-PF4|LDGF|MDGF|NAP-2|NAP-2-L1|Scyb7|TGB|TGB1|THBGB1|b-TG1|beta-TG,pro-platelet basic protein,GO:0002523 leukocyte migration involved in inflammatory response;GO:0070098 chemokine-mediated signaling pathway;GO:0031640 killing of cells of another organism
Cxcl8,3576,symbol,H. sapiens,20311,M. musculus,Cxcl5,AMCF-II|Cxcl6|ENA-78|GCP-2|LIX|Scyb5|Scyb6,chemokine (C-X-C motif) ligand 5,GO:0070950 regulation of neutrophil mediated killing of bacterium;GO:0070951 regulation of neutrophil mediated killing of gram-negative bacterium;GO:0070949 regulation of neutrophil mediated killing of symbiont cell
Cxcl9,17329,symbol,M. musculus,17329,M. musculus,Cxcl9,CMK|Mig|MuMIG|Scyb9|crg-10,chemokine (C-X-C motif) ligand 9,GO:1901741 positive regulation of myoblast fusion;GO:1901739 regulation of myoblast fusion;GO:0060143 positive regulation of syncytium formation by plasma membrane fusion
Cxcl10,15945,symbol,M. musculus,15945,M. musculus,Cxcl10,C7|CRG-2|INP10|IP-10|IP10|Ifi10|Scyb10|gIP-10|mob-1,chemokine (C-X-C motif) ligand 10,GO:1901740 negative regulation of myoblast fusion;GO:1901509 regulation of endothelial tube morphogenesis;GO:0034242 negative regulation of syncytium formation by plasma membrane fusion
