"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"1","geneComp_00016173","Klf3","Klf3","sgC9","sgNTC",4.52518245127994e-132,TRUE,1
"3","geneComp_00014698","Grb2","Grb2","sgC9","sgNTC",4.55889658624503e-78,TRUE,2
"4","geneComp_00001898","Anpep","Anpep","sgC9","sgNTC",2.94712918527497e-65,TRUE,3
"5","geneComp_00021485","Rps24","Rps24","sgC9","sgNTC",6.17741480444377e-50,FALSE,4
"7","geneComp_00016972","Mars1","Mars1","sgC9","sgNTC",1.32322554325352e-46,TRUE,5
"8","geneComp_00006927","Eya3","Eya3","sgC9","sgNTC",1.65973967478828e-46,TRUE,6
"10","geneComp_00020945","Repin1","Repin1","sgC9","sgNTC",2.14277885344927e-45,FALSE,7
"13","geneComp_00016995","Mavs","Mavs","sgC9","sgNTC",4.65188687379929e-43,FALSE,8
"15","geneComp_00002271","Atad2","Atad2","sgC9","sgNTC",8.80521443847697e-42,TRUE,9
"17","geneComp_00019276","Pcyt1a","Pcyt1a","sgC9","sgNTC",7.05773172851154e-38,FALSE,10
"19","geneComp_00002182","Arpc2","Arpc2","sgC9","sgNTC",4.89918652747048e-37,TRUE,11
"21","geneComp_00023616","Tcf25","Tcf25","sgC9","sgNTC",2.31101102588487e-36,FALSE,12
"24","geneComp_00024907","Ubtf","Ubtf","sgC9","sgNTC",1.15330214387383e-34,FALSE,13
"25","geneComp_00023608","Tceanc2","Tceanc2","sgC9","sgNTC",1.77809723881773e-34,TRUE,14
"27","geneComp_00019460","Pgpep1","Pgpep1","sgC9","sgNTC",3.85712683295098e-34,TRUE,15
"29","geneComp_00020876","Rbpj","Rbpj","sgC9","sgNTC",5.82396854952139e-34,FALSE,16
"31","geneComp_00021316","Rpl22l1","Rpl22l1","sgC9","sgNTC",6.46984131387492e-34,TRUE,17
"33","geneComp_00017528","Mrpl13","Mrpl13","sgC9","sgNTC",2.78702404005916e-33,TRUE,18
"35","geneComp_00022753","Snhg5","Snhg5","sgC9","sgNTC",1.60746222261339e-30,TRUE,19
"38","geneComp_00015098","Helq","Helq","sgC9","sgNTC",2.49080235782437e-29,TRUE,20
"40","geneComp_00021039","Rhod","Rhod","sgC9","sgNTC",1.04350216911585e-27,TRUE,21
"42","geneComp_00018023","Ndst2","Ndst2","sgC9","sgNTC",1.76757190753573e-26,FALSE,22
"43","geneComp_00016350","Lancl1","Lancl1","sgC9","sgNTC",1.9125777372701e-26,TRUE,23
"45","geneComp_00024791","Txndc9","Txndc9","sgC9","sgNTC",7.72027016245212e-26,TRUE,24
"47","geneComp_00018011","Ndel1","Ndel1","sgC9","sgNTC",8.1911966674662e-26,TRUE,25
