"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Txnip",3.2274229868655,8.70540268737426,33.2356749049725,5.6841691217615e-40,1.55217606207941e-35,80.7691749829545
"Angptl4",-3.14152377546769,5.8776354907939,-26.3948541149994,2.0174138563912e-34,2.75447600882373e-30,67.2851882921236
"Dhx9",-1.82444859623324,7.43538073337258,-21.8516065848793,5.14924510500404e-30,4.68701453607818e-26,58.0978660836922
"Rab15",-2.36011338841581,4.95766347977423,-20.9788346579767,4.37700090795853e-29,2.98806909484059e-25,55.2735966231252
"Msln",1.77844767492534,6.44375844196129,20.6037916177489,1.12134382569509e-28,6.12410716965117e-25,54.95123917355
"Klf2",1.50715260584884,9.3221716531884,20.2367058039359,2.85195303822735e-28,1.18852737093875e-24,54.0928131331169
"Tsc22d3",1.65902979389665,7.20331673860964,20.1550429206668,3.51627367721629e-28,1.18852737093875e-24,53.9136042177855
"Adamtsl4",1.71050021478597,7.03661534877855,20.1130287673167,3.9172176872043e-28,1.18852737093875e-24,53.7942837339903
"Ppp1r10",-2.11374588823691,5.3141540892291,-20.2096071912351,3.05695421191252e-28,1.18852737093875e-24,53.6419688321699
"Prl2c2",-2.18927898056966,6.16528806004147,-19.5381903259821,1.746038593425e-27,4.33446144278695e-24,52.1955607846229
"Oas3",2.49030686509343,4.3447334859667,19.7807733582488,9.25624872962905e-28,2.52760384059981e-24,51.9980031280196
"Abca1",2.16197344957065,4.68634770662466,18.9930967368779,7.42458673249035e-27,1.68952658253428e-23,50.3328160040579
"Pltp",1.72242856242608,5.95811585314975,18.664684459087,1.80197285314553e-26,3.51474805006035e-23,49.9042612343226
"Pop1",-1.95506285749715,5.01682976967051,-18.6714970602264,1.76893139399007e-26,3.51474805006035e-23,49.6469935378148
"Odc1",-1.51576206522288,9.00838226387373,-18.4363491097797,3.36007155199962e-26,6.11689825803024e-23,49.3390671344758
"Col5a3",1.70896025741716,7.37693234110134,18.3873211871216,3.84380903517568e-26,6.20689779346736e-23,49.2687182873723
"Slc25a5",-1.48702608219306,7.71969449657659,-18.2330284288593,5.8791168124253e-26,8.91894682204987e-23,48.8454734623009
"Serpinb1a",2.03837498526043,4.7024540975851,18.3854029183707,3.8641103925347e-26,6.20689779346736e-23,48.7842457813152
