"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Adar",0.309390084326377,5.82312234534119,3.4617645370517,0.00100298565977068,0.0057575214234513,-1.69263052854076,"Adar","NOT",2.99870527627867,"NOT"
"Apobec3",0.777087086675398,6.46748604741198,9.21396264409278,4.9140499788484e-13,2.79558255775861e-11,19.2617352578473,"Apobec3","UP",12.308560430797,"UP"
"Bst2",0.835488396607626,7.02942321316259,8.97122245163344,1.24684142909742e-12,6.43620017095713e-11,18.264149800275,"Bst2","UP",11.9041887757492,"UP"
"Cd74",1.33158795584203,2.00638267824326,5.89074992073466,1.94686758156963e-07,2.94695748613758e-06,7.00012534521191,"Cd74","UP",6.71066358651249,"UP"
"Ddit4",1.13529809369498,5.77132545422491,11.5252429399516,9.29905319327457e-17,1.31569557279144e-14,27.8458727280997,"Ddit4","UP",16.0315612679911,"UP"
"Ddx60",1.16905465334225,1.67344788096922,4.70703288731074,1.55862890234049e-05,0.000147945725903165,2.91874075739458,"Ddx60","UP",4.80725727470879,"UP"
"Eif2ak2",-0.120336555927982,4.99665460292561,-1.09391895901099,0.278424899125846,0.504475397812321,-6.44964194124581,"Eif2ak2","NOT",0.555291929013254,"NOT"
"Gbp2b",-0.613234414149258,-4.20344243363256,-0.718247868026646,0.475431686013121,0.663461419151692,-5.04729211316981,"Gbp2b","NOT",0.322911877294258,"NOT"
"Gbp2",1.24235261705476,2.53716878046601,6.68733745909201,9.03170799042703e-09,1.9015331541603e-07,9.92953873503981,"Gbp2","UP",8.04423011229171,"UP"
"Hpse",1.19311121880381,5.60488952415708,12.598222150292,2.15318009026447e-18,4.66641974006761e-16,31.580167478644,"Hpse","UP",17.6669196446135,"UP"
"Ifih1",0.372872912885781,3.51907711356759,2.74309632099315,0.00804209540032023,0.0342331253463047,-3.16776024714933,"Ifih1","NOT",2.09463077933222,"NOT"
"Ifit1",1.17483089851607,1.47036934137395,4.33939464933245,5.65827636844222e-05,0.000465533452223717,1.7416466192701,"Ifit1","UP",4.24731584401968,"UP"
"Ifit2",-0.287981372997751,5.27518951365174,-2.98939594616552,0.00406761855162298,0.019251118226539,-2.90015623408842,"Ifit2","NOT",2.39065978059998,"NOT"
"Ifit3",1.65059404313291,2.40647939998433,8.02995817923003,4.7843257666544e-11,1.7167619409991e-09,14.8676511845505,"Ifit3","UP",10.3201792567279,"UP"
