,Var1,Var2,Freq,Ratio,Ratio2
3,CD4+ Naive,C9_KO_1,342,0.093289689,0.063829787
17,CD4+ Naive,C9_KO_2,79,0.03279369,0.022714204
31,CD4+ Naive,C9_KO_3,288,0.081494058,0.050811574
45,CD4+ Naive,NTC_1,13,0.006532663,0.001559875
59,CD4+ Naive,NTC_2,613,0.143626992,0.063405048
73,CD4+ Naive,NTC_3,196,0.062103929,0.027279054
9,CD4+ Tfh,C9_KO_1,156,0.042553191,0.029115342
23,CD4+ Tfh,C9_KO_2,138,0.057285181,0.039677976
37,CD4+ Tfh,C9_KO_3,118,0.033389926,0.020818631
51,CD4+ Tfh,NTC_1,3,0.001507538,0.000359971
65,CD4+ Tfh,NTC_2,66,0.015463918,0.006826645
79,CD4+ Tfh,NTC_3,74,0.023447402,0.010299235
7,CD4+ Th1,C9_KO_1,139,0.037915985,0.025942516
21,CD4+ Th1,C9_KO_2,100,0.041511,0.028752156
35,CD4+ Th1,C9_KO_3,126,0.03565365,0.022230064
49,CD4+ Th1,NTC_1,83,0.041708543,0.009959203
63,CD4+ Th1,NTC_2,177,0.041471415,0.01830782
77,CD4+ Th1,NTC_3,100,0.031685678,0.013917884
4,CD4+ Th17,C9_KO_1,135,0.036824877,0.025195969
18,CD4+ Th17,C9_KO_2,108,0.04483188,0.031052329
32,CD4+ Th17,C9_KO_3,93,0.026315789,0.016407904
46,CD4+ Th17,NTC_1,162,0.081407035,0.019438445
60,CD4+ Th17,NTC_2,148,0.034676664,0.015308233
74,CD4+ Th17,NTC_3,161,0.051013942,0.022407794
2,CD4+ Th2,C9_KO_1,130,0.035460993,0.024262785
16,CD4+ Th2,C9_KO_2,132,0.054794521,0.037952846
30,CD4+ Th2,C9_KO_3,233,0.065930956,0.041107975
44,CD4+ Th2,NTC_1,239,0.120100503,0.028677706
58,CD4+ Th2,NTC_2,228,0.053420806,0.023582954
72,CD4+ Th2,NTC_3,159,0.050380228,0.022129436
8,CD4+ Th22,C9_KO_1,115,0.03136934,0.021463233
22,CD4+ Th22,C9_KO_2,57,0.02366127,0.016388729
36,CD4+ Th22,C9_KO_3,145,0.041029994,0.025582216
50,CD4+ Th22,NTC_1,61,0.030653266,0.007319414
64,CD4+ Th22,NTC_2,146,0.03420806,0.015101365
78,CD4+ Th22,NTC_3,115,0.03643853,0.016005567
11,CD4+ Th9,C9_KO_1,36,0.009819967,0.006718925
25,CD4+ Th9,C9_KO_2,6,0.00249066,0.001725129
39,CD4+ Th9,C9_KO_3,54,0.015280136,0.00952717
53,CD4+ Th9,NTC_1,73,0.036683417,0.008759299
67,CD4+ Th9,NTC_2,69,0.016166823,0.007136947
81,CD4+ Th9,NTC_3,50,0.015842839,0.006958942
5,CD4+ Treg,C9_KO_1,134,0.0365521,0.025009332
19,CD4+ Treg,C9_KO_2,51,0.02117061,0.0146636
33,CD4+ Treg,C9_KO_3,78,0.022071307,0.013761468
47,CD4+ Treg,NTC_1,123,0.061809045,0.014758819
61,CD4+ Treg,NTC_2,204,0.047797563,0.021100538
75,CD4+ Treg,NTC_3,205,0.06495564,0.028531663
10,CD8+ Effector,C9_KO_1,119,0.032460447,0.02220978
24,CD8+ Effector,C9_KO_2,62,0.02573682,0.017826337
38,CD8+ Effector,C9_KO_3,75,0.021222411,0.013232181
52,CD8+ Effector,NTC_1,41,0.020603015,0.004919606
66,CD8+ Effector,NTC_2,81,0.018978444,0.008378155
80,CD8+ Effector,NTC_3,26,0.008238276,0.00361865
14,CD8+ Effector exhausted,C9_KO_1,9,0.002454992,0.001679731
28,CD8+ Effector exhausted,C9_KO_2,13,0.00539643,0.00373778
42,CD8+ Effector exhausted,C9_KO_3,5,0.001414827,0.000882145
56,CD8+ Effector exhausted,NTC_1,14,0.007035176,0.001679866
70,CD8+ Effector exhausted,NTC_2,17,0.00398313,0.001758378
84,CD8+ Effector exhausted,NTC_3,10,0.003168568,0.001391788
1,CD8+ Naive,C9_KO_1,828,0.225859247,0.154535274
15,CD8+ Naive,C9_KO_2,221,0.091739311,0.063542266
29,CD8+ Naive,C9_KO_3,633,0.179117148,0.111679605
43,CD8+ Naive,NTC_1,48,0.024120603,0.005759539
57,CD8+ Naive,NTC_2,1083,0.253748828,0.112019032
71,CD8+ Naive,NTC_3,437,0.138466413,0.060821155
6,Unclassified T,C9_KO_1,462,0.126022913,0.086226204
20,Unclassified T,C9_KO_2,256,0.106268161,0.07360552
34,Unclassified T,C9_KO_3,723,0.204584041,0.127558222
48,Unclassified T,NTC_1,174,0.087437186,0.02087833
62,Unclassified T,NTC_2,547,0.128163074,0.056578403
76,Unclassified T,NTC_3,354,0.1121673,0.049269311
