"SYMBOL","GENENAME","ENTREZID","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","switchConsequencesGene"
"Gm12999",NA,NA,"isoComp_00028396","geneComp_00008596","ENSMUST00000247121.1","Gm12999","sgC9","sgNTC","lncRNA","lncRNA",2.11255837475359,2.86731868202029,1.3577980674869,0.554200663928031,0.023559453008533,-1.07286976177155,NA,0.806958541932578,0.374185667386476,1.23973141647868,0.183845626378679,0.119000353941353,1.70174247103664,NA,0.5161,0.120966666666667,0.911233333333333,0.790266666666667,0.0370710134061964,0.0342575030983681,FALSE,1,TRUE
"Fam228b","family with sequence similarity 228, member B","207921","isoComp_00024215","geneComp_00007070","ENSMUST00000218575.2","Fam228b","sgC9","sgNTC","protein_coding","protein_coding",1.99867365681246,2.98887047247363,1.00847684115129,0.672509550358862,0.455877395714389,-1.5580060348638,NA,0.379218489739656,0.278680790655529,0.479756188823783,0.143737931991813,0.0101379773580153,0.762588612064261,NA,0.375216666666667,0.0906666666666667,0.659766666666667,0.5691,0.0243391295864302,0.0243391295864302,FALSE,1,TRUE
"Gm15441","predicted gene 15441","100038464","isoComp_00029127","geneComp_00009195","ENSMUST00000107095.4","Gm15441","sgC9","sgNTC","lncRNA","lncRNA",3.33754632230817,4.18285948110984,2.4922331635065,0.663917158438852,0.811026049669296,-0.744718251503602,NA,1.84998157178809,3.33122574042516,0.368737403151026,0.765882586991463,0.186328677222669,-3.14110764726212,NA,0.498333333333333,0.779,0.217666666666667,-0.561333333333333,0.141121550525109,2.90771837549192e-09,TRUE,1,TRUE
"Tbx3","T-box 3","21386","isoComp_00072093","geneComp_00023585","ENSMUST00000079719.11","Tbx3","sgC9","sgNTC","protein_coding","protein_coding",8.09947619422746,7.8877237637053,8.31122862474962,0.175868443057518,0.0789516519466329,0.0753596492362137,NA,3.56328769511523,5.3709663436706,1.75560904655986,0.752503559761786,0.282125926485565,-1.60769935642187,NA,0.4479,0.6845,0.2113,-0.4732,0.00532623897269172,0.00532623897269172,FALSE,1,TRUE
"Abcc10","ATP-binding cassette, sub-family C member 10","224814","isoComp_00002925","geneComp_00001221","ENSMUST00000165733.2","Abcc10","sgC9","sgNTC","protein_coding","retained_intron",3.17582585252107,2.63029743402529,3.72135427101686,0.235883866497861,0.185392165610934,0.49899888160039,NA,1.01886040708546,0.168843287502295,1.86887752666862,0.0202324023876262,0.114069628601139,3.39310315273493,NA,0.286816666666667,0.0664,0.507233333333333,0.440833333333333,1.55430528625396e-05,1.55430528625396e-05,FALSE,1,TRUE
"Pagr1a","PAXIP1 associated glutamate rich protein 1A","67278","isoComp_00052979","geneComp_00019063","ENSMUST00000200948.2","Pagr1a","sgC9","sgNTC","protein_coding","protein_coding",4.86234014415986,7.52252365546267,2.20215663285706,3.94082403742964,0.752190576825727,-1.76767975859537,NA,4.13084968282764,7.19465398800357,1.0670453776517,4.01798706551064,0.346199132265613,-2.7418501107127,NA,0.702466666666667,0.920733333333333,0.4842,-0.436533333333333,0.0628281014235036,0.000111847784292647,FALSE,1,TRUE
"Zfp433","zinc finger protein 433","73610","isoComp_00081713","geneComp_00025890","ENSMUST00000200889.4","Zfp433","sgC9","sgNTC","protein_coding","protein_coding",2.4801010696071,1.95862070823474,3.00158143097946,0.345041249802602,0.46478782292184,0.61333609316789,NA,1.36276461976289,1.59005644404596,1.13547279547981,0.176730561362052,0.0207762341622375,-0.482179603310724,NA,0.618183333333333,0.835233333333333,0.401133333333333,-0.4341,0.0702193389044383,0.00179449216505602,FALSE,1,TRUE
"Btbd9","BTB domain containing 9","224671","isoComp_00010062","geneComp_00002900","ENSMUST00000168787.8","Btbd9","sgC9","sgNTC","protein_coding","protein_coding",8.327878706789,7.10599232925561,9.5497650843224,0.52755040356926,0.200695907900199,0.425910211317042,NA,2.63045277046427,3.78739946284262,1.47350607808591,0.509532202908538,0.00768137596891645,-1.3560009317904,NA,0.351,0.547566666666667,0.154433333333333,-0.393133333333333,0.00934560525094043,0.00934560525094043,FALSE,1,TRUE
"Ggn","gametogenetin","243897","isoComp_00027058","geneComp_00007765","ENSMUST00000098609.4","Ggn","sgC9","sgNTC","protein_coding","protein_coding",1.14010761941626,1.22520258315521,1.0550126556773,0.11034553831549,0.13819946778896,-0.213877100525111,NA,0.709363841492465,0.558423296735808,0.860304386249121,0.225494913000028,0.194427535142421,0.614554382904913,NA,0.63395,0.4493,0.8186,0.3693,0.332437741909976,0.000581744933197213,FALSE,1,TRUE
"Ttll3","tubulin tyrosine ligase-like family, member 3","101100","isoComp_00076808","geneComp_00024717","ENSMUST00000203925.2","Ttll3","sgC9","sgNTC","protein_coding","retained_intron",3.82170032211797,4.27327041706595,3.37013022717,0.315129651334179,0.376252045772696,-0.34163393155545,NA,0.782961322163896,1.55654334938755,0.00937929494024151,0.0664747723886678,0.00598554654454638,-6.33692479888391,NA,0.1858,0.369066666666667,0.00253333333333333,-0.366533333333333,1.18613248044793e-09,1.18613248044793e-09,FALSE,1,FALSE
