seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
6	131354327	131354726	400	*	*	-5.37693356525235	Promoter (<=1kb)	6	131342053	131355204	13152	2	ENSMUSG00000030189	ENSMUST00000205035	478
5	114310990	114311389	400	*	*	-5.44235394655388	Promoter (2-3kb)	5	114313967	114328399	14433	1	ENSMUSG00000042010	ENSMUST00000146841	-2578
7	80202572	80202971	400	*	*	-4.21396888481348	Distal Intergenic	7	80104741	80184867	80127	2	ENSMUSG00000030528	ENSMUST00000081314	-17705
16	9569505	9569904	400	*	*	-4.62579617712104	Intron (ENSMUST00000199708/ENSMUSG00000059003, intron 4 of 13)	16	9579363	9615197	35835	2	ENSMUSG00000059003	ENSMUST00000199267	45293
7	70733744	70734143	400	*	*	-4.89708605015186	Distal Intergenic	7	70746795	70773342	26548	1	ENSMUSG00000109161	ENSMUST00000209158	-12652
5	23966837	23967236	400	*	*	-6.10184191497558	Promoter (<=1kb)	5	23948420	23967411	18992	2	ENSMUSG00000057541	ENSMUST00000131404	175
18	65970289	65970688	400	*	*	-4.27848416085124	Promoter (<=1kb)	18	65970358	65970546	189	1	ENSMUSG00000117910	ENSMUST00000236915	0
13	78997406	78997805	400	*	*	-4.84829420086073	Distal Intergenic	13	79101207	79102911	1705	2	ENSMUSG00000114557	ENSMUST00000225033	105106
8	94770577	94770976	400	*	*	-4.81382920703727	Intron (ENSMUST00000109556/ENSMUSG00000033009, intron 2 of 12)	8	94775409	94777323	1915	1	ENSMUSG00000110499	ENSMUST00000211865	-4433
14	10790252	10790651	400	*	*	-4.53296439084602	Distal Intergenic	14	10698462	10701830	3369	2	ENSMUSG00000114310	ENSMUST00000225152	-88422
4	149762748	149763147	400	*	*	-3.18702951420905	Promoter (2-3kb)	4	149757896	149760550	2655	2	ENSMUSG00000039936	ENSMUST00000137430	-2198
12	25046049	25046448	400	*	*	-4.25194833081016	Intron (ENSMUST00000066652/ENSMUSG00000036333, intron 8 of 31)	12	25042289	25049480	7192	1	ENSMUSG00000036333	ENSMUST00000221050	3760
12	77308164	77308563	400	*	*	-4.53735841721805	Intron (ENSMUST00000177595/ENSMUSG00000021065, intron 1 of 12)	12	77285839	77523112	237274	1	ENSMUSG00000021065	ENSMUST00000062804	22325
13	39607675	39608074	400	*	*	-4.14746983120062	Distal Intergenic	13	39624541	39633647	9107	1	ENSMUSG00000114512	ENSMUST00000226065	-16467
4	45722735	45723134	400	*	*	-3.26358735537166	Intron (ENSMUST00000146622/ENSMUSG00000073860, intron 2 of 2)	4	45715169	45716421	1253	1	ENSMUSG00000085305	ENSMUST00000124989	7566
2	16687722	16688121	400	*	*	-7.10003512324973	Intron (ENSMUST00000028081/ENSMUSG00000026748, intron 9 of 13)	2	16643507	16756501	112995	1	ENSMUSG00000026748	ENSMUST00000126173	44215
6	79886529	79886928	400	*	*	-6.2682198656109	Distal Intergenic	6	79794899	79795347	449	1	ENSMUSG00000096887	ENSMUST00000179797	91630
16	19725107	19725506	400	*	*	-3.32973055731151	Distal Intergenic	16	19695435	19703024	7590	2	ENSMUSG00000075330	ENSMUST00000231564	-22083
12	38395834	38396233	400	*	*	-4.81688453723358	Intron (ENSMUST00000220990/ENSMUSG00000036095, intron 20 of 24)	12	38418670	38419229	560	2	ENSMUSG00000113248	ENSMUST00000222381	22996
12	21528203	21528602	400	*	*	-3.63835159710417	Distal Intergenic	12	21470760	21471065	306	1	ENSMUSG00000097055	ENSMUST00000227598	57443
